2023-05-13 00:00:11 INFO  [c.e.h.controller.PatientController] API: /add-query, Response state: OK, Request time: 209ms
2023-05-13 10:53:54 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 4ms
2023-05-13 11:11:38 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 6ms
2023-05-13 11:11:39 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 3ms
2023-05-13 11:11:41 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 51ms
2023-05-13 11:11:41 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:12:27 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:12:27 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 11ms
2023-05-13 11:15:38 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 45ms
2023-05-13 11:15:38 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 4ms
2023-05-13 11:18:32 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 8ms
2023-05-13 11:18:32 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 7ms
2023-05-13 11:18:35 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:18:35 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 7ms
2023-05-13 11:19:26 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 8ms
2023-05-13 11:19:38 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:19:45 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 5ms
2023-05-13 11:19:45 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:19:48 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 55ms
2023-05-13 11:19:48 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 5ms
2023-05-13 11:19:51 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:19:51 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 6ms
2023-05-13 11:19:54 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 58ms
2023-05-13 11:19:54 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 4ms
2023-05-13 11:28:33 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 44ms
2023-05-13 11:28:33 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 7ms
2023-05-13 11:28:38 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 3ms
2023-05-13 11:28:38 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 3ms
2023-05-13 11:28:40 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 4ms
2023-05-13 11:28:40 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 12ms
2023-05-13 11:33:10 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 63ms
2023-05-13 11:33:10 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 11ms
2023-05-13 11:33:14 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 14ms
2023-05-13 11:33:14 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 48ms
2023-05-13 11:33:16 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 111ms
2023-05-13 11:33:16 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 215ms
2023-05-13 13:02:27 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 152ms
2023-05-13 13:02:27 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 5ms
2023-05-13 13:02:31 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 95ms
2023-05-13 13:02:32 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 5ms
2023-05-13 13:02:34 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 4ms
2023-05-13 13:02:34 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 6ms
2023-05-13 19:38:57 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 278ms
2023-05-13 19:38:57 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 8ms
2023-05-13 19:39:11 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 6ms
2023-05-13 19:39:11 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 9ms
2023-05-13 19:39:22 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 5ms
2023-05-13 19:39:22 INFO  [c.e.h.controller.DoctorController] API: /appointments/id, Response state: error, Request time: 5ms
2023-05-13 19:39:53 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 48ms
2023-05-13 19:39:53 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 4ms
2023-05-13 19:40:07 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 4ms
2023-05-13 19:40:07 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
2023-05-13 19:40:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 48ms
2023-05-13 19:40:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 5ms
2023-05-13 19:40:33 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 48ms
2023-05-13 19:40:33 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 5ms
2023-05-13 19:40:52 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 2ms
2023-05-13 19:40:53 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 4ms
2023-05-13 19:41:26 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 9ms
2023-05-13 19:41:27 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 47ms
2023-05-13 19:41:37 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 50ms
2023-05-13 19:41:37 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 44ms
2023-05-13 19:42:21 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 418ms
2023-05-13 19:42:35 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 127ms
2023-05-13 19:42:35 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 5ms
2023-05-13 19:42:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 20ms
2023-05-13 19:42:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 3ms
2023-05-13 19:42:43 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 7ms
2023-05-13 19:42:43 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 2ms
2023-05-13 19:42:49 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 48ms
2023-05-13 19:42:49 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 8ms
2023-05-13 19:43:28 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 46ms
2023-05-13 19:43:28 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 100ms
2023-05-13 19:47:06 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
2023-05-13 19:47:06 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
2023-05-13 19:47:14 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 2ms
2023-05-13 19:47:14 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
2023-05-13 19:47:26 INFO  [c.e.h.controller.PatientController] API: /add-query, Response state: OK, Request time: 80ms
2023-05-13 19:47:30 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
2023-05-13 19:47:30 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 3ms
